iter	Passed	Remaining
0	56	56907
1	57	28565
2	57	19122
3	57	14393
4	58	11554
5	58	9668
6	58	8319
7	58	7305
8	59	6516
9	59	5884
10	59	5367
11	59	4938
12	60	4573
13	60	4261
14	60	3990
15	61	3753
16	61	3544
17	61	3358
18	61	3192
19	62	3043
20	62	2907
21	62	2784
22	62	2672
23	63	2568
24	63	2473
25	63	2386
26	63	2302
27	64	2227
28	64	2156
29	64	2088
30	64	2027
31	65	1970
32	65	1918
33	65	1866
34	65	1818
35	66	1773
36	66	1731
37	66	1690
38	67	1654
39	67	1619
40	67	1584
41	67	1550
42	68	1519
43	68	1488
44	68	1459
45	69	1431
46	69	1405
47	69	1379
48	69	1355
49	70	1333
50	70	1309
51	70	1288
52	70	1266
53	71	1246
54	71	1226
55	71	1207
56	71	1189
57	72	1172
58	72	1155
59	72	1139
60	72	1123
61	73	1107
62	73	1092
63	73	1077
64	73	1063
65	74	1049
66	74	1036
67	74	1023
68	74	1010
69	75	999
70	75	987
71	75	974
72	75	962
73	76	951
74	76	941
75	76	930
76	76	920
77	77	910
78	77	900
79	77	891
80	77	881
81	77	872
82	78	863
83	78	855
84	78	846
85	78	838
86	79	830
87	79	822
88	79	814
89	79	807
90	80	799
91	80	792
92	80	785
93	80	778
94	81	771
95	81	765
96	81	759
97	81	752
98	82	746
99	82	740
100	82	734
101	82	728
102	82	722
103	83	716
104	83	711
105	83	706
106	83	700
107	84	695
108	84	690
109	84	685
110	85	681
111	85	675
112	85	671
113	85	666
114	85	661
115	86	656
116	86	652
117	86	647
118	86	643
119	87	638
120	87	634
121	87	630
122	87	626
123	88	621
124	88	617
125	88	613
126	88	608
127	88	604
128	88	600
129	89	596
130	89	592
131	89	588
132	89	584
133	89	581
134	90	577
135	90	574
136	90	570
137	90	567
138	91	564
139	91	560
140	91	557
141	91	554
142	92	551
143	92	548
144	92	545
145	92	542
146	92	539
147	93	535
148	93	532
149	93	529
150	93	526
151	93	524
152	94	521
153	94	518
154	94	516
155	94	513
156	95	510
157	95	508
158	95	505
159	95	503
160	96	500
161	96	498
162	96	495
163	96	493
164	96	490
165	97	488
166	97	486
167	97	483
168	97	481
169	98	479
170	98	476
171	98	474
172	98	472
173	99	470
174	99	468
175	99	465
176	99	463
177	100	461
178	100	460
179	100	458
180	100	456
181	101	454
182	101	452
183	101	450
184	101	448
185	102	446
186	102	444
187	102	442
188	102	440
189	102	438
190	103	437
191	103	434
192	103	432
193	103	430
194	103	429
195	104	427
196	104	425
197	104	423
198	104	421
199	105	420
200	105	418
201	105	416
202	105	414
203	105	413
204	106	411
205	106	409
206	106	408
207	106	406
208	107	404
209	107	403
210	107	401
211	107	400
212	107	398
213	108	397
214	108	396
215	108	394
216	108	393
217	109	391
218	109	390
219	109	388
220	109	387
221	110	386
222	110	384
223	110	383
224	110	381
225	111	380
226	111	379
227	111	377
228	111	376
229	112	375
230	112	373
231	112	372
232	112	370
233	112	369
234	113	368
235	113	366
236	113	365
237	113	364
238	114	363
239	114	362
240	114	361
241	114	359
242	115	358
243	115	357
244	115	356
245	115	355
246	116	354
247	116	352
248	116	351
249	116	350
250	117	349
251	117	348
252	117	347
253	117	345
254	117	344
255	118	343
256	118	342
257	118	341
258	118	340
259	119	339
260	119	338
261	119	337
262	119	336
263	120	334
264	120	333
265	120	332
266	120	331
267	121	330
268	121	329
269	121	328
270	121	327
271	122	326
272	122	325
273	122	324
274	122	323
275	122	322
276	123	321
277	123	320
278	123	319
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	124	313
285	125	312
286	125	311
287	125	310
288	125	309
289	126	308
290	126	307
291	126	306
292	126	305
293	126	304
294	127	303
295	127	302
296	127	302
297	127	301
298	128	300
299	128	299
300	128	298
301	128	297
302	128	296
303	129	295
304	129	294
305	129	294
306	129	293
307	130	292
308	130	291
309	130	290
310	130	289
311	130	288
312	131	287
313	131	287
314	131	286
315	131	285
316	132	284
317	132	284
318	132	283
319	132	282
320	133	281
321	133	280
322	133	280
323	133	279
324	134	278
325	134	277
326	134	277
327	134	276
328	135	275
329	135	274
330	135	274
331	135	273
332	136	272
333	136	271
334	136	271
335	136	270
336	137	270
337	137	269
338	137	268
339	138	268
340	138	267
341	138	266
342	138	265
343	138	265
344	139	264
345	139	263
346	139	262
347	139	262
348	140	261
349	140	260
350	140	260
351	140	259
352	141	258
353	141	258
354	141	257
355	141	256
356	142	255
357	142	255
358	142	254
359	142	253
360	143	253
361	143	252
362	143	251
363	143	251
364	144	250
365	144	249
366	144	249
367	144	248
368	144	247
369	145	247
370	145	246
371	145	245
372	145	245
373	146	244
374	146	243
375	146	243
376	146	242
377	147	242
378	147	241
379	147	240
380	147	240
381	148	239
382	148	238
383	148	238
384	148	237
385	149	237
386	149	236
387	149	235
388	149	235
389	149	234
390	150	234
391	150	233
392	150	232
393	150	232
394	151	231
395	151	231
396	151	230
397	151	229
398	152	229
399	152	228
400	152	227
401	152	227
402	153	226
403	153	226
404	153	225
405	153	225
406	154	224
407	154	223
408	154	223
409	154	222
410	154	222
411	155	221
412	155	221
413	155	220
414	156	219
415	156	219
416	156	218
417	156	218
418	157	217
419	157	217
420	157	216
421	157	216
422	158	215
423	158	214
424	158	214
425	158	213
426	159	213
427	159	212
428	159	212
429	159	211
430	159	211
431	160	210
432	160	210
433	160	209
434	160	209
435	161	208
436	161	207
437	161	207
438	161	206
439	162	206
440	162	205
441	162	205
442	162	204
443	163	204
444	163	203
445	163	203
446	163	202
447	163	202
448	164	201
449	164	201
450	164	200
451	165	200
452	165	199
453	165	199
454	165	198
455	165	197
456	166	197
457	166	196
458	166	196
459	166	195
460	167	195
461	167	194
462	167	194
463	167	193
464	168	193
465	168	192
466	168	192
467	168	191
468	169	191
469	169	190
470	169	190
471	169	189
472	169	189
473	170	188
474	170	188
475	170	187
476	170	187
477	171	186
478	171	186
479	171	185
480	171	185
481	171	184
482	172	184
483	172	183
484	172	183
485	172	182
486	173	182
487	173	181
488	173	181
489	173	180
490	174	180
491	174	179
492	174	179
493	174	179
494	175	178
495	175	178
496	175	177
497	175	177
498	176	176
499	176	176
500	176	175
501	176	175
502	177	174
503	177	174
504	177	174
505	177	173
506	178	173
507	178	172
508	178	172
509	178	171
510	179	171
511	179	170
512	179	170
513	179	170
514	180	169
515	180	169
516	180	168
517	180	168
518	181	167
519	181	167
520	181	166
521	181	166
522	181	165
523	182	165
524	182	165
525	182	164
526	182	164
527	183	163
528	183	163
529	183	162
530	183	162
531	184	161
532	184	161
533	184	161
534	184	160
535	185	160
536	185	159
537	185	159
538	185	158
539	185	158
